modelo,metodo,balanceo,recall_cv,recall_cv_std,precision_cv,f1_cv,balanced_accuracy_cv,pr_auc_cv,roc_auc_cv,recall_test,precision_test,f1_test,balanced_accuracy_test,pr_auc_test,roc_auc_test,tiempo_total_s,tiempo_train_s,tiempo_pred_s,params
LightGBM_CostSensitive,baseline,sin_balanceo,0.0445500343540825,0.0036481251618822,0.5665777281347006,0.0825861487693869,0.5217443555930557,0.2723556556076276,0.8942002637518769,0.0461356466876971,0.5679611650485437,0.0853391684901531,0.5225202523441931,0.2806606346635249,0.8952755518641519,22.31,8.64,1.26,{}
LightGBM_CostSensitive,baseline,weights,0.8306707907751397,0.0075201618219448,0.1161026405565318,0.203727913275826,0.8166400567797141,0.27114124394826,0.8931433759669876,0.8375394321766562,0.1168831168831168,0.2051381108750241,0.8200346666223637,0.2735482857757957,0.8951318540214881,31.6,3.58,0.49,{}
LightGBM_CostSensitive,random_search,sin_balanceo,,,0.5284410317561201,0.1139202511175364,0.5310432669455254,0.2630888995903409,0.889526789969676,0.0686119873817034,0.5272727272727272,0.1214235868806699,0.5333462063206691,0.268896008021536,0.8913336636783324,185.42,185.42,0.73,"{'classifier__colsample_bytree': 0.7007008892569129, 'classifier__learning_rate': 0.09822263016087535, 'classifier__min_child_samples': 42, 'classifier__n_estimators': 253, 'classifier__num_leaves': 72, 'classifier__reg_alpha': 0.12561043700013558, 'classifier__reg_lambda': 0.05342937261279776, 'classifier__subsample': 0.9621062261782377}"
LightGBM_CostSensitive,random_search,weights,,,0.1000456037336244,0.1795256698210557,0.8140928477504239,0.2619617583155722,0.8918630893462975,0.876577287066246,0.1001396459299968,0.1797453001819284,0.8153866402846119,0.2660925127627455,0.8935633953803818,44.1,44.1,0.74,"{'classifier__colsample_bytree': 0.8514619379556374, 'classifier__learning_rate': 0.01654871282482623, 'classifier__min_child_samples': 97, 'classifier__n_estimators': 282, 'classifier__num_leaves': 66, 'classifier__reg_alpha': 0.02847858516856297, 'classifier__reg_lambda': 7.711312991331111, 'classifier__scale_pos_weight': 46.40374310551428, 'classifier__subsample': 0.9266040662428277}"
Balanced_Random_Forest,baseline,sin_balanceo,0.8259408041525951,0.005149983139509,0.104166589203074,0.1850009945140738,0.8021190666605811,0.218742005580642,0.8767662656342328,0.8233438485804416,0.1038392679530535,0.1844197138314785,0.8008041780678454,0.2185795014293673,0.876826816837976,16.25,4.88,0.6,{}
Balanced_Random_Forest,baseline,weights,0.8373738428258235,0.0049735382051656,0.0965554279557074,0.1731453809598689,0.7964102183521382,0.1729889545972807,0.8674381751975277,0.8418769716088328,0.094127501983952,0.169323499087953,0.7945234146817113,0.160333781086054,0.8649911714778179,21.15,4.85,0.62,{}
Balanced_Random_Forest,random_search,sin_balanceo,,,0.1086992477737086,0.1916985765606697,0.8019532690648326,0.2312624080092353,0.8750346842051512,0.8241324921135647,0.1084587441619097,0.1916903604512519,0.8063665856738518,0.2322062763480907,0.878749640070032,145.72,145.72,0.47,"{'classifier__max_depth': 4, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 104, 'classifier__sampling_strategy': 0.9916154429033941}"
Balanced_Random_Forest,random_search,weights,,,0.0367739125463078,0.0709077464373005,0.5895674676718333,0.2313213988306594,0.8775951993278583,0.9917192429022084,0.0354534946009191,0.068459591147889,0.5748882674126142,0.233006818081974,0.8795568963202949,158.22,158.22,0.43,"{'classifier__class_weight': {0: 1, 1: 7.894736842105263}, 'classifier__max_depth': 4, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 101, 'classifier__sampling_strategy': 0.7816377859881918}"
CatBoost,baseline,sin_balanceo,0.029075693090580668,0.004148278036168007,0.5874195222303292,0.055372409508484655,0.5142209876447078,0.26366568451813427,0.8908305167069598,0.026813880126182965,0.5862068965517241,0.05128205128205128,0.513111620872266,0.2666103452932135,0.8933532526606287,18.76,5.91,0.37,{}
CatBoost,baseline,weights,0.029075693090580668,0.004148278036168007,0.5874195222303292,0.055372409508484655,0.5142209876447078,0.26366568451813427,0.8908305167069598,0.026813880126182965,0.5862068965517241,0.05128205128205128,0.513111620872266,0.2666103452932135,0.8933532526606287,17.72,5.22,0.4,{}
CatBoost,random_search,sin_balanceo,,,0.5552408593523922,0.0808614756318911,0.521291606824437,0.2668658912987713,0.8928792544855414,0.04337539432176656,0.5882352941176471,0.08079324274697025,0.5212139559589342,0.27302306003569243,0.8951275040994557,162.17,162.17,0.39,"{'classifier__colsample_bylevel': 0.776585374950758, 'classifier__depth': 5, 'classifier__iterations': 180, 'classifier__learning_rate': 0.11533383186090113, 'classifier__reg_lambda': 0.17583640270008521, 'classifier__subsample': 0.8541934359909121}"
CatBoost,random_search,weights,,,0.5552408593523922,0.0808614756318911,0.521291606824437,0.2668658912987713,0.8928792544855414,0.04337539432176656,0.5882352941176471,0.08079324274697025,0.5212139559589342,0.27302306003569243,0.8951275040994557,209.2,209.2,0.4,"{'classifier__colsample_bylevel': 0.776585374950758, 'classifier__depth': 5, 'classifier__iterations': 180, 'classifier__learning_rate': 0.11533383186090113, 'classifier__reg_lambda': 0.17583640270008521, 'classifier__subsample': 0.8541934359909121}"
